,,1960,1970,1980,1990,2000,2005,2010,2015,2016,2017
Glass,Generation,"6,190","11,920","13,970","11,830","11,040","10,460","9,360","9,120","9,090","8,930"
Glass,Recycled,100,150,750,"2,620","2,880","2,590","3,130","3,190","3,160","3,030"
Glass,Recycle Rate,1.62%,1.26%,5.37%,22.15%,26.09%,24.76%,33.44%,34.98%,34.76%,33.93%
Glass,Composted,,,,,,,,,,
Glass,Combustion with Energy Recovery,,50,270,"1,570","1,590","1,430","1,110","1,170","1,160","1,160"
Glass,Landfilled,"6,090","11,720","12,950","7,640","6,570","6,440","5,120","4,760","4,770","4,740"
Steel,Generation,"4,660","5,380","3,610","2,890","2,870","2,370","2,740","2,220","2,140","2,010"
Steel,Recycled,30,80,200,690,"1,690","1,500","1,890","1,620","1,550","1,470"
Steel,Recycle Rate,0.64%,1.49%,5.54%,23.88%,58.89%,63.29%,68.98%,72.97%,72.43%,73.13%
Steel,Composted,,,,,,,,,,
Steel,Combustion with Energy Recovery,,20,60,370,230,150,150,120,120,100
Steel,Landfilled,"4,630","5,280","3,350","1,830",950,720,700,480,470,440
Aluminum,Generation,170,570,"1,270","1,900","1,950","1,930","1,900","1,840","1,900","1,890"
Aluminum,Recycled,,10,320,"1,010",860,690,680,670,620,620
Aluminum,Recycle Rate,0.00%,1.75%,25.20%,53.16%,44.10%,35.75%,35.79%,36.41%,32.63%,32.80%
Aluminum,Composted,,,,,,,,,,
Aluminum,Combustion with Energy Recovery,,,20,150,210,230,210,240,240,260
Aluminum,Landfilled,170,560,930,740,880,"1,010","1,010",930,"1,040","1,010"
Paper,Generation,"14,110","21,400","26,350","32,680","39,940","39,640","37,680","39,920","39,990","41,060"
Paper,Recycled,"2,740","3,110","7,210","12,070","21,040","23,610","26,850","31,200","30,830","30,080"
Paper,Recycle Rate,19.42%,14.53%,27.36%,36.93%,52.68%,59.56%,71.26%,78.16%,77.09%,73.26%
Paper,Composted,,,,,,,,,,
Paper,Combustion with Energy Recovery,,70,380,"3,500","3,670","2,920","1,920","1,710","1,790","2,160"
Paper,Landfilled,"11,370","18,220","18,760","17,110","15,230","13,110","8,910","7,010","7,370","8,820"
Plastic,Generation,120,"2,090","3,400","6,900","11,190","12,420","13,680","14,680","14,510","14,490"
Plastic,Recycled,,,10,260,"1,030","1,280","1,850","2,150","2,130","1,890"
Plastic,Recycle Rate,0.00%,0.00%,0.29%,3.77%,9.20%,10.31%,13.52%,14.65%,14.68%,13.04%
Plastic,Composted,,,,,,,,,,
Plastic,Combustion with Energy Recovery,,,70,"1,130","1,960","2,020","2,090","2,460","2,430","2,470"
Plastic,Landfilled,120,"2,090","3,320","5,510","8,200","9,120","9,740","10,070","9,950","10,130"
Wood,Generation,"2,000","2,070","3,940","8,180","8,610","9,230","9,770","9,770","11,450","11,350"
Wood,Recycled,,,,130,"1,370","1,830","2,280","2,660","2,940","3,000"
Wood,Recycle Rate,0.00%,0.00%,0.00%,1.59%,15.91%,19.83%,23.34%,27.23%,25.68%,26.43%
Wood,Composted,,,,,,,,,,
Wood,Combustion with Energy Recovery,,10,80,"1,370","1,400","1,350","1,330","1,390","1,670","1,640"
Wood,Landfilled,"2,000","2,060","3,860","6,680","5,840","6,050","6,160","5,720","6,840","6,710"
Other Misc,Generation,120,130,130,150,240,280,340,370,350,350
Other Misc,Recycled,,,,,,,,,,
Other Misc,Recycle Rate,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Other Misc,Composted,,,,,,,,,,
Other Misc,Combustion with Energy Recovery,,,,20,50,60,60,70,70,70
Other Misc,Landfilled,120,130,130,130,190,220,280,300,280,280
Total,Generation,27370,43560,52670,64530,75840,76330,75470,77920,79430,80080
Total,Recycled,2870,3350,8490,16780,28870,31500,36680,41490,41230,40090
Total,Recycle Rate,10.49%,7.69%,16.12%,26.00%,38.07%,41.27%,48.60%,53.25%,51.91%,50.06%
Total,Composted,0,0,0,0,0,0,0,0,0,0
Total,Combustion with Energy Recovery,0,150,880,8110,9110,8160,6870,7160,7480,7860
Total,Landfilled,24500,40060,43300,39640,37860,36670,31920,29270,30720,32130
